,location,Radius,covered_nodes,Total_nodes_covered
0,"[656.4574107751567, -293.6187732473874]",233.39372527425297,"['667357382', '667357383', '667357385', '667357387', '667357392', '668685375', '668685380', '5366445105', '5879215623', '5879215625', '5879215634', '6576461331', '8675266535']",13
1,"[236.3078243582436, 637.918372476273]",237.9315661842854,"['667357421', '668612331', '668612391', '1990860599', '4348259329', '4348265098', '4348265099', '4348265101', '4348265105', '4348265107', '6573701501', '6573701505', '6573701524']",13
2,"[256.44280662402673, -413.25948981459]",231.33027463459428,"['667357317', '667357318', '667357325', '667357368', '667357382', '668699249', '5366445105', '5879215642', '5879215643', '6495983054', '6495983060', '6568909593', '6568909594', '6568909609', '6573854574', '8666700466']",16
3,"[-265.55964408204306, -832.6678915864984]",224.21421319201164,"['668699188', '668699193', '668699199', '668699242']",4
4,"[-35.97772411686997, 476.0406659437848]",228.39989852315406,"['667357348', '667357359', '667357361', '668478124', '668672699', '4348259297', '4348259298', '4348265105', '4348265107', '5366445085', '5366445091', '5366445092', '5366445093', '6571330021', '6573701501', '6573701505']",16
5,"[49.96315115088048, -795.4128571495112]",227.90139219858864,"['668699237', '668699242', '6435688923', '6435688924', '6627410440', '6627410442']",6
6,"[735.4550767201771, 450.0542604294234]",239.910170118637,"['667357412', '667357416', '667357419', '4348259325', '4348259327', '4348259331', '4348259332', '4348259333', '4348259334', '4348259335', '4348259340', '4348259341', '7265460758', '9169143586']",14
7,"[481.24251747070406, -511.44808311847316]",207.75174103927264,"['667357311', '667357368', '667357382', '667357385', '667357387', '668685375', '668699249', '5366445105', '5879215634', '5879215641', '5879215642', '5879215643']",12
8,"[-303.5937812690971, 432.66642920501954]",223.96057154011254,"['667357348', '667357361', '668478124', '668672699', '4348259294', '4348259295', '4348259297', '4348259298', '5280437313', '5280437314', '6571330021', '6571330022', '6571330023', '7265473766']",14
9,"[654.6012439738805, 856.2102532107889]",241.1879159039295,"['6786321690', '6786321691']",2
10,"[146.8735478906427, 233.71668155261426]",233.8967996622153,"['667357367', '668620092', '668672700', '668672704', '4642960968', '5366445082', '5366445083', '5366445085', '5366445091', '5366445092', '5366445093', '5584937649', '5584937650', '6583550562', '7147944044', '7147944046']",16
11,"[443.7255812638893, 800.9290431099178]",240.48874086183775,"['667357421', '668612391', '1990860600', '4348265098', '6786321690', '6786321691', '9169143592']",7
12,"[-638.9219374159467, 258.31437252530947]",227.9325748323305,"['2081722939', '4348259319', '4348259324', '5280437314', '5280438428', '7265482108', '7265482110', '8699875147', '8699875155', '8699875156']",10
13,"[464.53997271064446, -25.663531188829765]",233.53487749715498,"['667357352', '667357405', '667357407', '2055461156', '3215340463', '3215340464', '4369058864', '5077600694', '6568909595', '6576461331', '6785961623', '6785961658', '7147944038']",13
14,"[830.931274225473, -3.4561384302049403]",236.53393325150884,"['667357392', '667357401', '667357403', '667357405', '667357407', '667357415', '6576461331']",7
15,"[80.60016542786582, -151.07907133693573]",228.74321613174857,"['667357326', '668672700', '6573854574', '6583550560', '6583550562']",5
16,"[705.7632668814658, -632.410920608351]",231.55176021244503,"['668660560', '668685375', '5879215623', '5879215625', '5879215634', '5879215641']",6
17,"[-234.3228554587319, 92.25379069655236]",228.9972320489825,"['245674992', '668672574', '4348259294', '4348259295', '5280437313', '6571330023']",6
18,"[529.2272978509072, 339.1072735429383]",238.14953343603943,"['667357367', '667357409', '667357412', '667357416', '667357419', '668620092', '1990860599', '4348259325', '4348259327', '4348259328', '4348259329', '4348259330', '4348259331', '4348259332', '4348259333', '4348259334', '4348259335', '4348259340', '4348259341', '4369058864', '5882320075', '7147944044', '7147944046', '7265460758', '9169143586']",25
19,"[346.80601104971686, -814.1880206367404]",227.95909133606912,"['667357309', '667357310', '667357311', '668660548', '668660552', '5879215641', '5879215644', '5879215645', '5879215646', '5879215650', '6627410440', '6627410442']",12
