,location,Radius,covered_nodes,Total_nodes_covered
0,"[-66.82045804691481, -912.4435880724911]",244.0854207645318,"['275675439', '275675440', '275675441', '275676975', '330653967', '330653976', '330653978', '330653986', '330653996', '330653997', '330654000', '330654009', '330654010', '330654012', '330654038', '330780144', '330780155', '2166694704', '2166694709', '2166694714', '2167078771', '2167078772', '2167078774', '6590511582', '7025461280']",25
1,"[471.4387176786778, 130.75861430062207]",242.01507077753078,"['268789868', '268789869', '268789870', '268789926', '268789939', '268789940', '330576253', '330576261', '330576280', '330576289', '330576404', '330576439', '330576446', '330576488', '330576496', '330593476', '330593480', '330593514', '330593520', '330593523', '330593548', '330593624', '330593646', '330593651', '330593656', '330593661', '330593666', '330593675', '330593688', '330593697', '330593701', '330593710']",32
2,"[250.82761692425152, -743.980091477151]",233.77586356350247,"['275675441', '275676977', '330653303', '330653399', '330654000', '330654003', '330654005', '330654009', '330654139', '330780144', '330780155', '330780161', '330780167', '330780592', '330798636', '2166694720', '2166694724', '2166694728', '2167078770', '2167078773', '2167078774', '7024847607']",22
3,"[841.6182415747583, 654.3622041497429]",238.19652091513854,"['268789860', '268789861', '268789944', '330576053', '330576066', '330576156', '330576503', '330576530', '330576539', '330576568', '330576592', '330576637', '330576647', '330576678', '330576715', '330576733', '330576745', '330576757', '330576765', '330576770', '330576811', '330576821', '330576830', '330582157', '330582170', '330582193', '330593389', '330593397', '3371735058', '3371735059', '3371735060', '3371735062', '3371735063', '3371735085', '3371735086', '3371735087', '3405055667', '3405055668']",38
4,"[427.23781465928323, -491.8484522363751]",244.9024390353416,"['330653384', '330779492', '2166694720', '2166694724', '2166703022', '2293922421', '3405091168', '7024847607']",8
5,"[-14.273961416617128, -468.76159150692325]",243.5844544631042,"['268789969', '268789971', '268789973', '268789976', '268789979', '268790010', '268790016', '268790030', '268790035', '275675438', '275675439', '304913245', '330648003', '330653141', '330653166', '330653179', '330653184', '330653236', '330653241', '330653246', '330653249', '330653262', '330653267', '330653271', '330653290', '330653296', '330653303', '330653324', '330653353', '330653884', '330774715', '330780155', '330780161', '330780167', '330780202', '330780203', '670703205', '670703217', '2164168482', '2166694715', '2166694728', '2166694752']",42
6,"[-382.2329465856558, -698.1001520043966]",245.42029977324893,"['268790019', '275676971', '330648048', '330648051', '330648058', '330653884', '330653893', '330653923', '330653928', '330653958', '330653976', '330653978', '330783601', '330783605', '670703094', '670703101', '670703151', '670703205', '670703217', '670703264', '672642687', '672642688', '672642689', '2164168482']",24
7,"[-866.7416439386083, -667.1843361466133]",245.7144465438156,"['330648098', '330648694', '330648697', '330780901', '2018053792', '5391143596', '5391143604']",7
8,"[683.2375627543089, -224.92726631002728]",243.1431908468699,"['330593497', '330593501', '330612026', '330653426']",4
9,"[225.91682004381545, -133.40685999274976]",243.5811410892139,"['268789874', '268789875', '268789926', '268789985', '268789987', '268789988', '268789990', '268789999', '268790000', '330576364', '330593548', '330593595', '330593601', '330593605', '330593612', '330593618', '330593624', '330593641', '330593701', '330593710', '330593716', '330612021', '330612027', '330612029', '330612032', '330612039', '330612040', '330612044', '330612046', '330612049', '330612053', '330612289', '330653324', '330774716', '330779489', '330779492', '3371735080']",37
10,"[741.146092067949, 430.92054532835385]",239.95892157162868,"['268789880', '268789881', '268789882', '268789920', '268789950', '268789954', '268789961', '268789963', '330576035', '330576044', '330576053', '330576059', '330576066', '330576156', '330576404', '330576503', '330576530', '330576539', '330576765', '330576811', '330576821', '330576830', '330582170', '330582189', '330582193', '330582202', '330593389', '330593397', '330593447', '330593456', '330593460', '330593466', '2164208476', '2164208484', '3248842465', '3248842469', '3248842472', '3248842473', '3248842475', '3248842476', '3248842477', '3248842479', '3371735063', '3371735087', '3405055667', '3405055668', '6773818263', '6773818264']",48
11,"[666.9594144850287, 224.94337262880356]",241.21564668737864,"['268789868', '268789869', '268789870', '268789882', '268789920', '268789940', '268789950', '268789954', '268789961', '268789963', '330576035', '330576261', '330576280', '330576404', '330576439', '330576446', '330576488', '330576496', '330582202', '330593428', '330593447', '330593456', '330593460', '330593466', '330593480', '330593509', '330593514', '330593520', '330593523', '2164208476', '2164208484', '3248842465', '3248842469', '3248842475', '3248842476', '3248842477', '3248842479', '6773818263', '6773818264']",39
