,location,Radius,covered_nodes,Total_nodes_covered
0,"[-511.2886235585931, -893.4534378385049]",130.21406037916412,"['J169', 'J171', 'J172', 'J173', 'J174', 'J185', 'J186', 'J215', 'J223', 'J247', 'J248', 'J249']",12
1,"[-1046.2287190127174, -1042.4824949094993]",136.1403893216223,"['J158', 'J180', 'J182', 'J204', 'J208', 'J209', 'J210', 'J227', 'J228', 'J229', 'J230', 'J245', 'J250']",13
2,"[-1051.1188340430451, -922.3467341688375]",134.22487140169213,"['J157', 'J158', 'J180', 'J182', 'J208', 'J209', 'J210', 'J227', 'J228', 'J229', 'J230', 'J251', 'J252']",13
3,"[-294.824446668133, -783.3931129861178]",127.12468531258001,"['J233', 'J239']",2
4,"[-288.3840086134376, -960.0783380310323]",126.35674394768412,"['J187', 'J218', 'J220', 'J221', 'J240', 'J241', 'J242']",7
5,"[-799.2605640362042, -1049.2179210181146]",132.0671085499857,"['J200', 'J212', 'J216', 'J226', 'J232', 'J234', 'J235']",7
6,"[-1177.684322493341, -729.2996267668581]",139.42423627128028,"['J190', 'J191', 'J244']",3
7,"[-89.40991536962022, -873.2506929375104]",125.114297858126,"['J175', 'J176', 'J178', 'J188', 'J189', 'J219', 'J237']",7
8,"[-1299.9549663991406, -916.1604382711017]",141.24155045054897,"['J154', 'J155', 'J156', 'J179', 'J192', 'J193', 'J211', 'J243']",8
9,"[-1102.5406905772973, -1222.7649962017056]",141.58285172379382,['J246'],1
10,"[-848.3700731800636, -895.259840631451]",121.25767376333529,"['J160', 'J161', 'J162', 'J167', 'J168', 'J235', 'J236']",7
11,"[-716.4516450319164, -807.328315513572]",134.38655965008982,"['J162', 'J167', 'J168', 'J169', 'J231', 'J236']",6
12,"[-1542.9038617630315, -1066.4185185152605]",145.23005797517393,"['J153', 'J194', 'J202']",3
13,"[-243.869987685869, -1100.8472230352847]",122.65668209275165,"['J198', 'J218', 'J221', 'J242']",4
14,"[-1542.866020457348, -886.6435211890796]",145.22025017914393,"['J152', 'J153', 'J194', 'J195', 'J203']",5
15,"[-650.2498052381759, -1048.9517849785707]",132.0523770807602,"['J170', 'J183', 'J184', 'J186', 'J212', 'J213', 'J216', 'J231', 'J232']",9
16,"[-68.5755347356119, -1055.516403571815]",124.2843332964013,"['J196', 'J197', 'J217', 'J219']",4
17,"[-922.9361110995997, -742.7141780097813]",137.06478701580397,"['J161', 'J162', 'J163', 'J164', 'J165', 'J166', 'J251', 'J252']",8
18,"[-464.14322245010675, -1095.375354549381]",128.21131986625457,"['J199', 'J213', 'J214', 'J215', 'J222', 'J223', 'J224', 'J225', 'J247']",9
19,"[-1300.2759402110064, -1038.9941695437067]",142.91070079212486,"['J154', 'J155', 'J179', 'J192', 'J193', 'J201', 'J205', 'J206', 'J211', 'J243']",10
