,location,Radius,covered_nodes,Total_nodes_covered
0,"[-184.62861928989068, 302.5472406773876]",338.0395695373541,"['245674992', '667357348', '667357359', '667357361', '668478124', '668672574', '668672699', '4348259294', '4348259295', '4348259297', '4348259298', '4642960968', '5280437313', '5280437314', '5280438428', '5366445085', '5366445091', '5366445092', '5366445093', '6571330021', '6571330022', '6571330023', '7265473766']",23
1,"[98.2286596199641, -140.93662969200747]",335.46295261330084,"['667357318', '667357325', '667357326', '668672700', '3215340463', '3215340464', '5077600694', '6568909593', '6568909594', '6568909595', '6568909609', '6573854574', '6583550560', '6583550562', '7147944038', '8666700466']",16
2,"[410.9967772300042, 840.6346563986965]",326.5686906462496,"['667357421', '668612331', '668612391', '1990860599', '1990860600', '4348259325', '4348265098', '4348265099', '6786321690', '6786321691', '9169143592']",11
3,"[612.3217850520612, 70.28593126298692]",334.48896578681763,"['667357352', '667357392', '667357401', '667357403', '667357405', '667357407', '667357409', '667357412', '667357415', '667357416', '667357419', '668620092', '2055461156', '3215340464', '4348259327', '4348259328', '4348259340', '4369058864', '5882320075', '6576461331', '6785961623', '6785961658', '7147944038', '7147944044', '7147944046', '8675266535']",26
4,"[304.2635549068082, -702.190693478207]",330.8738666263128,"['667357309', '667357310', '667357311', '667357317', '667357318', '667357368', '668660548', '668660552', '668699237', '668699249', '5879215641', '5879215642', '5879215643', '5879215644', '5879215645', '5879215646', '5879215650', '6435688923', '6435688924', '6495983054', '6495983060', '6568909609', '6627410440', '6627410442']",24
5,"[112.90935694992135, 427.66999187296125]",336.8854830646506,"['667357348', '667357359', '667357361', '667357367', '667357421', '668478124', '668612331', '668612391', '668620092', '668672699', '668672704', '4348259295', '4348259297', '4348259298', '4348259329', '4348265098', '4348265099', '4348265101', '4348265105', '4348265107', '4642960968', '5366445082', '5366445083', '5366445085', '5366445091', '5366445092', '5366445093', '5584937649', '5584937650', '6573701501', '6573701505', '6573701524', '7147944044', '7147944046']",34
6,"[671.1686862516146, -401.8574201280662]",332.4246366362936,"['667357368', '667357382', '667357383', '667357385', '667357387', '667357392', '668660560', '668685375', '668685380', '5366445105', '5879215623', '5879215625', '5879215634', '5879215642', '6576461331', '8675266535']",16
7,"[-140.1456917399673, -844.1952018452708]",327.91727827102085,"['668699188', '668699193', '668699199', '668699237', '668699242', '6435688923', '6435688924']",7
8,"[-591.9644868106616, 376.1175909084526]",324.19214133392376,"['2081722939', '4348259319', '4348259324', '5280437313', '5280437314', '5280438428', '6571330022', '6571330023', '7265473766', '7265482108', '7265482110', '8699875147', '8699875155', '8699875156']",14
9,"[665.7272275351518, 602.2114668730046]",330.8756444151357,"['667357419', '667357421', '1990860599', '1990860600', '4348259325', '4348259327', '4348259328', '4348259329', '4348259330', '4348259331', '4348259332', '4348259333', '4348259334', '4348259335', '4348259340', '4348259341', '6786321690', '6786321691', '7265460758', '9169143586']",20
