,location,Radius,covered_nodes,Total_nodes_covered
0,"[-634.8611604944947, 316.1946558902303]",280.1054589363277,"['2081722939', '4348259319', '4348259324', '5280437313', '5280437314', '5280438428', '7265482108', '7265482110', '8699875147', '8699875155', '8699875156']",11
1,"[54.518768844256684, -143.34935024367587]",265.792589370648,"['667357326', '668672700', '5077600694', '6568909593', '6573854574', '6583550560', '6583550562']",7
2,"[721.1472079844275, -383.21030004765487]",290.7683255621061,"['667357382', '667357383', '667357385', '667357387', '668660560', '668685375', '668685380', '5366445105', '5879215623', '5879215625', '5879215634', '8675266535']",12
3,"[195.2136254790239, 378.56025371467695]",284.7020717203279,"['667357367', '667357421', '668612331', '668620092', '668672704', '4348259329', '4348265098', '4348265099', '4348265101', '4348265105', '4348265107', '4642960968', '5366445082', '5366445083', '5366445085', '5366445091', '5366445092', '5366445093', '5584937649', '5584937650', '6573701501', '6573701505', '6573701524', '7147944044', '7147944046']",25
4,"[610.3921630294, 753.8545904605526]",264.17815998770755,"['1990860599', '1990860600', '4348259325', '4348259333', '6786321690', '6786321691']",6
5,"[-109.32945214386564, 545.2947244630195]",296.2482385589757,"['667357348', '667357359', '667357361', '668478124', '668672699', '4348259294', '4348259295', '4348259297', '4348259298', '4348265105', '4348265107', '5366445091', '5366445092', '5366445093', '6571330021', '6571330022', '6573701501', '6573701505', '7265473766']",19
6,"[623.5405849476381, 411.44808821037685]",274.5491021302227,"['667357409', '667357412', '667357415', '667357416', '667357419', '1990860599', '1990860600', '4348259325', '4348259327', '4348259328', '4348259329', '4348259330', '4348259331', '4348259332', '4348259333', '4348259334', '4348259335', '4348259340', '4348259341', '4369058864', '5882320075', '7265460758', '9169143586']",23
7,"[289.8952352392158, -21.01065809994189]",280.2310543314311,"['667357326', '667357352', '668620092', '668672700', '2055461156', '3215340463', '3215340464', '5077600694', '5366445083', '6568909593', '6568909594', '6568909595', '6573854574', '6583550562', '6785961623', '6785961658', '7147944038', '7147944044', '7147944046']",19
8,"[345.66822432838353, 877.6862111169663]",277.91225540010277,"['667357421', '668612391', '4348265098', '6786321691', '9169143592']",5
9,"[647.894153557485, 53.16047710319981]",283.1974182498427,"['667357352', '667357392', '667357401', '667357403', '667357405', '667357407', '667357409', '667357412', '667357415', '667357416', '2055461156', '4369058864', '5882320075', '6576461331', '6785961623', '6785961658', '8675266535']",17
10,"[-195.82751200116607, 227.748607413212]",280.76854185670925,"['245674992', '667357348', '667357361', '668478124', '668672574', '668672699', '4348259294', '4348259295', '5280437313', '5280437314', '5366445092', '5366445093', '6571330021', '6571330022', '6571330023']",15
11,"[438.5069942031987, -821.5462456778623]",304.7329357821651,"['667357309', '667357310', '667357311', '668660548', '668660552', '5879215641', '5879215644', '5879215645', '5879215646', '5879215650', '6495983054', '6627410440', '6627410442']",13
12,"[-131.70570912095948, -879.2337475165207]",333.46949969441897,"['668699188', '668699193', '668699199', '668699237', '668699242', '6435688923', '6435688924']",7
13,"[307.72022355805535, -473.67719551837826]",297.4810343427679,"['667357309', '667357310', '667357311', '667357317', '667357318', '667357325', '667357368', '667357382', '667357385', '668685375', '668699249', '5366445105', '5879215642', '5879215643', '5879215650', '6495983054', '6495983060', '6568909593', '6568909594', '6568909609', '6573854574', '6627410440', '8666700466']",23
