,Unnamed: 0,location,Radius,covered_nodes,Total_nodes_covered
0,0,"[143.31618710637093, 677.8325337102476]",295.7453538862905,"['667357359', '667357421', '668612331', '668612391', '4348265098', '4348265099', '4348265101', '4348265105', '4348265107', '5366445091', '6573701501', '6573701505', '6573701524', '9169143592']",14
1,1,"[180.8201964564123, -329.3465686108224]",293.9818617191036,"['667357317', '667357318', '667357325', '667357326', '667357382', '668699249', '3215340463', '5366445105', '5879215642', '5879215643', '6495983054', '6495983060', '6568909593', '6568909594', '6568909595', '6568909609', '6573854574', '8666700466']",18
2,2,"[561.378407596711, 30.217598507492916]",297.23563073721846,"['667357352', '667357392', '667357401', '667357403', '667357405', '667357407', '667357409', '667357412', '667357415', '667357416', '668620092', '2055461156', '3215340464', '4369058864', '5077600694', '5882320075', '6568909595', '6576461331', '6785961623', '6785961658', '7147944038', '7147944044', '7147944046', '8675266535']",24
3,3,"[-185.07350947357716, -839.1861453694568]",287.1681105198719,"['668699188', '668699193', '668699199', '668699242', '6435688924']",5
4,4,"[-16.27917298498548, 6.949997066819002]",297.43980931645007,"['245674992', '667357326', '668672574', '668672700', '4642960968', '6583550560', '6583550562']",7
5,5,"[347.3772021666512, 320.09977640834194]",293.00962505614933,"['667357367', '667357412', '667357419', '667357421', '668612331', '668620092', '668672704', '1990860599', '2055461156', '4348259327', '4348259328', '4348259329', '4348259330', '4348259331', '4348259332', '4348259334', '4348265099', '4348265101', '4348265107', '4369058864', '4642960968', '5366445082', '5366445083', '5366445085', '5584937649', '5584937650', '5882320075', '6573701524', '7147944044', '7147944046']",30
6,6,"[-617.0146098210478, 317.3713667672084]",269.5168398982171,"['2081722939', '4348259319', '4348259324', '5280437313', '5280437314', '5280438428', '7265482108', '7265482110', '8699875147', '8699875155', '8699875156']",11
7,7,"[280.37972055555514, -822.2923362961081]",289.43299342986256,"['667357309', '667357310', '667357311', '668660548', '668660552', '668699237', '5879215641', '5879215644', '5879215645', '5879215646', '5879215650', '6435688923', '6435688924', '6495983054', '6495983060', '6627410440', '6627410442']",17
8,8,"[749.944706729523, -248.19545199589345]",290.65044049282545,"['667357383', '667357385', '667357387', '667357392', '667357401', '668685375', '668685380', '5879215623', '5879215625', '5879215634', '6576461331', '8675266535']",12
9,9,"[-228.9243220320384, 351.820041014176]",297.6081790590858,"['245674992', '667357348', '667357359', '667357361', '668478124', '668672574', '668672699', '4348259294', '4348259295', '4348259297', '4348259298', '5280437313', '5280437314', '5280438428', '5366445091', '5366445092', '5366445093', '6571330021', '6571330022', '6571330023', '7265473766']",21
10,10,"[515.5355411889525, -543.6709420893156]",289.77912111552314,"['667357309', '667357310', '667357311', '667357317', '667357325', '667357368', '667357382', '667357383', '667357385', '667357387', '668660552', '668660560', '668685375', '668699249', '5366445105', '5879215623', '5879215625', '5879215634', '5879215641', '5879215642', '5879215643', '5879215644', '5879215645', '5879215646', '5879215650', '6495983054']",26
11,11,"[540.099930223365, 825.1489872863536]",296.8021949973533,"['667357421', '1990860599', '1990860600', '4348259325', '6786321690', '6786321691', '9169143592']",7
12,12,"[822.4588287196425, 407.6495788558451]",297.2401024998158,"['667357409', '667357412', '667357415', '667357416', '667357419', '4348259332', '4348259333', '4348259334', '4348259335', '4348259340', '4348259341', '7265460758', '9169143586']",13
