,location,Radius,covered_nodes,Total_nodes_covered
0,"[-295.58840885026876, -345.2018979303543]",197.1594381496359,"['268790016', '268790019', '304913245', '304913248', '304914007', '304914011', '330612299', '330648003', '330648024', '330648058', '330653184', '330653928', '672642687']",13
1,"[540.7314394139954, -492.12155975943114]",184.08296627819362,"['330653384', '2293922421', '3405091168']",3
2,"[10.038439392943861, -570.3565375301087]",179.21660314787167,"['268789973', '268789976', '268790010', '268790030', '268790035', '275675438', '275675439', '330653141', '330653166', '330653236', '330653241', '330653246', '330653249', '330653262', '330653267', '330653271', '330653290', '330653296', '330653303', '330653353', '330653997', '330780155', '330780161', '330780167', '330780202', '330780203', '2166694715', '2166694728', '2166694752']",29
3,"[-599.4686211955915, -385.9301261250732]",208.06966167600442,"['330648038', '330648048', '330648061', '330648065', '330648075', '330648108', '330648111', '330648114', '330648117', '330798362', '330798365']",11
4,"[-252.37167807830218, -611.9472551789293]",196.50396603073966,"['268790016', '268790019', '330648058', '330653249', '330653884', '330653893', '330653923', '330653928', '330653958', '330653976', '330653978', '670703094', '670703101', '670703151', '670703205', '670703217', '670703264', '672642687', '672642688', '672642689', '2164168482', '2166694714', '2166694715']",23
5,"[963.2129843225339, 1019.5571038471483]",225.04601377057077,"['268789836', '268789877', '268789942', '268789959', '268790945', '330576694', '330576715', '3248845375', '3263038277', '3371735058']",10
6,"[679.1565014346471, -989.494299570182]",192.20750492731105,"['275676982', '330654107', '330654114', '330654123', '330654130', '330780864', '330780866', '330798629', '330798631', '330798633', '2158634730', '2168356812', '4690195811', '10038642609', '10038642610', '10038642616']",16
7,"[173.82872843028397, -63.75104950509253]",196.54543260238876,"['268789985', '268789987', '268789988', '268789990', '268789999', '268790000', '330576364', '330593548', '330593595', '330593601', '330593605', '330593612', '330593618', '330593624', '330593641', '330593701', '330612027', '330612029', '330612032', '330612039', '330612040', '330612044', '330612046', '330612049', '330612053', '330612289', '3371735080']",27
8,"[457.6822179618089, -47.00730131660156]",191.22092924412968,"['268789870', '268789874', '268789926', '330593480', '330593514', '330593523', '330593548', '330593601', '330593697', '330593701', '330593710', '330593716', '330612021', '330612026']",14
9,"[-30.80366174307935, -814.9361101674565]",180.15132352102765,"['275675438', '275675439', '275675440', '275675441', '330653967', '330653976', '330653978', '330653986', '330653996', '330653997', '330654000', '330654010', '330654012', '330780144', '330780155', '330780161', '2166694704', '2166694709', '2166694714', '2166694715', '2167078771', '2167078772']",22
10,"[-914.285557527658, -659.8588722164541]",219.419393650398,"['330648098', '330648694', '330648697', '330780901', '2018053792', '5391143596', '5391143604']",7
