,Unnamed: 0,location,Radius,covered_nodes,Total_nodes_covered
0,0,"[1018.5724171819747, 606.7990218866616]",240.35265169900066,"['268789860', '268789861', '268789944', '330576503', '330576530', '330576568', '330576647', '330576733', '330576745', '330576757', '330576765', '330576770', '330576811', '330576821', '330576830', '330582157', '330582170', '330582193', '330593389', '3405055667', '3405055668']",21
1,1,"[-22.005162738697503, -502.1446525519301]",224.57965911810885,"['268789969', '268789971', '268789973', '268789976', '268789979', '268790010', '268790016', '268790030', '268790035', '275675438', '275675439', '304913245', '330648003', '330653141', '330653166', '330653179', '330653184', '330653236', '330653241', '330653246', '330653249', '330653262', '330653267', '330653271', '330653290', '330653296', '330653303', '330653353', '330653884', '330774715', '330780155', '330780161', '330780167', '330780202', '330780203', '670703205', '670703217', '2164168482', '2166694715', '2166694728', '2166694752']",41
2,2,"[682.627662214079, 794.4747502608893]",260.1402556626858,"['268789860', '268789861', '268789877', '268789879', '268789880', '268789942', '268789944', '330576053', '330576059', '330576156', '330576530', '330576539', '330576568', '330576592', '330576637', '330576647', '330576671', '330576678', '330576694', '330576715', '330576757', '330576765', '330576821', '3371735058', '3371735059', '3371735060', '3371735062', '3371735063', '3371735085', '3371735086', '3371735087']",31
3,3,"[-305.0971585848462, -648.1909016128028]",247.9365719902142,"['268790016', '268790019', '275676971', '330648058', '330653884', '330653893', '330653923', '330653928', '330653958', '330653967', '330653976', '330653978', '330783605', '670703094', '670703101', '670703151', '670703205', '670703217', '670703264', '672642687', '672642688', '672642689', '2164168482', '2166694704', '2166694714', '2166694715']",26
4,4,"[567.551289248116, -427.8662086524477]",262.08753193029094,"['330612026', '330653384', '330653426', '330779492', '2293922421', '3405091168']",6
5,5,"[88.16774595508976, 0.7717157403022386]",255.45470176625946,"['268789926', '268789939', '268789985', '268789987', '268789988', '268789990', '268789999', '268790000', '304913244', '330576364', '330593548', '330593595', '330593601', '330593605', '330593612', '330593618', '330593624', '330593641', '330593651', '330593661', '330593701', '330612029', '330612032', '330612039', '330612040', '330612044', '330612046', '330612049', '330612053', '330612289', '3371735080', '3405118745']",32
6,6,"[498.3119036218963, 28.73519192667461]",241.84260441963852,"['268789868', '268789869', '268789870', '268789874', '268789926', '268789939', '268789940', '330576261', '330576280', '330576289', '330576496', '330593476', '330593480', '330593501', '330593514', '330593520', '330593523', '330593548', '330593624', '330593646', '330593656', '330593675', '330593697', '330593701', '330593710', '330593716', '330612021']",27
7,7,"[365.9574681023525, -620.2664273481691]",253.26462359641482,"['330653296', '330653303', '330653384', '330653399', '330654003', '330798635', '330798636', '2166694720', '2166694724', '2166694728', '2166694752', '2166703022', '2293922421', '3405091168', '7024847607']",15
8,8,"[885.22147519044, 251.03627233828257]",229.82561464970993,"['268789868', '268789920', '268789950', '268789954', '330582170', '330582189', '330582202', '330593389', '330593397', '330593428', '330593447', '330593456', '330593460', '330593466', '330593509', '2164208476', '2164208484', '3248842465', '3248842469', '3248842472', '3248842473', '3248842475', '3248842476', '3248842477', '3248842479']",25
9,9,"[788.3814345564049, 497.5171171139683]",221.72178320809616,"['268789880', '268789882', '268789944', '268789950', '268789961', '268789963', '330576035', '330576044', '330576053', '330576059', '330576066', '330576156', '330576503', '330576530', '330576539', '330576757', '330576765', '330576770', '330576811', '330576821', '330576830', '330582157', '330582170', '330582189', '330582193', '330582202', '330593389', '330593397', '330593456', '330593460', '3248842465', '3248842469', '3248842472', '3248842476', '3248842477', '3371735062', '3371735063', '3371735087', '3405055667', '3405055668']",40
10,10,"[683.2703850831243, -943.215696452763]",298.4808203484996,"['275676979', '275676982', '330653399', '330654083', '330654107', '330654114', '330654123', '330654130', '330780864', '330780866', '330798628', '330798629', '330798631', '330798633', '330798634', '330798635', '330798636', '2158634730', '2168356812', '4690195811', '4690195816', '10038642609', '10038642610', '10038642616']",24
11,11,"[980.5076468774093, 1091.0284850189562]",260.3363127907208,"['268789836', '268789877', '268789942', '268789959', '268790945', '330576694', '3248845375', '3263038277']",8
12,12,"[187.06014281117353, -1215.3213490917678]",289.9802964729888,"['275676975', '275676976', '275676977', '330654005', '330654038', '330654075', '330654081', '330654144', '330654147', '330654149', '330654150', '2164168453', '2164168463', '2167078769', '2167078770', '6590511582', '7025461280']",17
13,13,"[229.9812078462312, -204.25264825508782]",231.07633554100752,"['268789874', '268789875', '268789969', '268789971', '268789979', '268789985', '268789987', '268789988', '268789990', '268789999', '268790000', '330593595', '330593601', '330593701', '330593716', '330612021', '330612027', '330612032', '330612039', '330612040', '330612044', '330612046', '330612049', '330612053', '330612289', '330653324', '330774715', '330774716', '330779489', '330779492', '3371735080']",31
14,14,"[47.37135750807957, -913.2216708111457]",274.9379437694979,"['275675438', '275675439', '275675440', '275675441', '275676975', '275676976', '275676977', '330653967', '330653978', '330653986', '330653996', '330653997', '330654000', '330654003', '330654005', '330654009', '330654010', '330654012', '330654038', '330654075', '330654144', '330780144', '330780155', '330780161', '330780592', '2164168453', '2164168463', '2166694704', '2166694709', '2166694714', '2167078769', '2167078770', '2167078771', '2167078772', '2167078773', '2167078774', '6590511582', '7025461280']",38
15,15,"[-522.5729189892502, -767.6657762275373]",265.99790684409106,"['275676971', '330648038', '330648048', '330648051', '330648697', '330653893', '330653923', '330783601', '330783605', '670703094', '670703264', '672642689']",12
